"repo","repo_url","stars","path","raw_url","version_hint","matched_query"
"lavantien/distributed-booking-microservices","https://github.com/lavantien/distributed-booking-microservices","6","openapi/laptop_service.openapi.yml","https://raw.githubusercontent.com/lavantien/distributed-booking-microservices/master/openapi/laptop_service.openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"leandrodantelab2dev/lab2-mcp-cap","https://github.com/leandrodantelab2dev/lab2-mcp-cap","6","mcp-cap-openapi.yaml","https://raw.githubusercontent.com/leandrodantelab2dev/lab2-mcp-cap/main/mcp-cap-openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"nmxmxh/master-ovasabi","https://github.com/nmxmxh/master-ovasabi","6","docs/services/asset/asset_openapi.json","https://raw.githubusercontent.com/nmxmxh/master-ovasabi/main/docs/services/asset/asset_openapi.json","openapi-3","filename:openapi.json openapi"
"Nordix/keycloak-secrets-vault-provider","https://github.com/Nordix/keycloak-secrets-vault-provider","6","docs/openapi.json","https://raw.githubusercontent.com/Nordix/keycloak-secrets-vault-provider/main/docs/openapi.json","openapi-3","filename:openapi.json openapi"
"pagopa/cstar-infrastructure","https://github.com/pagopa/cstar-infrastructure","6","src/core/api/azureblob/internal.openapi.json","https://raw.githubusercontent.com/pagopa/cstar-infrastructure/main/src/core/api/azureblob/internal.openapi.json","openapi-3","filename:openapi.json openapi"
"pagopa/cstar-infrastructure","https://github.com/pagopa/cstar-infrastructure","6","src/core/api/pm_wallet_ext/openapi.json","https://raw.githubusercontent.com/pagopa/cstar-infrastructure/main/src/core/api/pm_wallet_ext/openapi.json","openapi-3","filename:openapi.json openapi"
"pagopa/cstar-infrastructure","https://github.com/pagopa/cstar-infrastructure","6","src/domains/rtd-app/api/rtd_sender_api_key_check/openapi.yml","https://raw.githubusercontent.com/pagopa/cstar-infrastructure/main/src/domains/rtd-app/api/rtd_sender_api_key_check/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"paularlott/knot","https://github.com/paularlott/knot","6","internal/api/spec/knot-openapi.yaml","https://raw.githubusercontent.com/paularlott/knot/main/internal/api/spec/knot-openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"postmanlabs/intergalactic-apifirst","https://github.com/postmanlabs/intergalactic-apifirst","6","openapi-books/08-bookshop-better-errors.openapi.yaml","https://raw.githubusercontent.com/postmanlabs/intergalactic-apifirst/main/openapi-books/08-bookshop-better-errors.openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"SamuelMarks/restify-orm-scaffold","https://github.com/SamuelMarks/restify-orm-scaffold","6","swagger.json","https://raw.githubusercontent.com/SamuelMarks/restify-orm-scaffold/master/swagger.json","swagger-2.0","filename:swagger.json swagger"
"SanjaySinghRajpoot/GoBank","https://github.com/SanjaySinghRajpoot/GoBank","6","doc/swagger/go_bank.swagger.json","https://raw.githubusercontent.com/SanjaySinghRajpoot/GoBank/main/doc/swagger/go_bank.swagger.json","swagger-2.0","filename:swagger.json swagger"
"santoshshinde2012/multi-factor-authentication","https://github.com/santoshshinde2012/multi-factor-authentication","6","backend/swagger.json","https://raw.githubusercontent.com/santoshshinde2012/multi-factor-authentication/main/backend/swagger.json","swagger-2.0","filename:swagger.json swagger"
"semusings/gradle-multi-module-project-for-spring-boot","https://github.com/semusings/gradle-multi-module-project-for-spring-boot","6","openapi/inventory-service.openapi.yaml","https://raw.githubusercontent.com/semusings/gradle-multi-module-project-for-spring-boot/main/openapi/inventory-service.openapi.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"semusings/gradle-multi-module-project-for-spring-boot","https://github.com/semusings/gradle-multi-module-project-for-spring-boot","6","openapi/shipping-service.openapi.yaml","https://raw.githubusercontent.com/semusings/gradle-multi-module-project-for-spring-boot/main/openapi/shipping-service.openapi.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
